GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
8600000US20009,20009,ZCTA5 20009,26682,571,94213,4313,73.5,2.0,107128,5727,15.9,1.7,37520,7474,0.3,0.2,(X),(X),4.7,1.0,93558,17092,0.0,0.1,-,**,3.4,0.9,35223,12523,2.3,0.6,96250,48783,11.5,1.2,61362,12443,66.4,1.9,112108,4989,4.8,0.9,45864,4423,61.9,1.8,102070,4082,24.0,1.6,99238,17122,9.3,1.0,46337,9501,7013,456,124702,12953,35.6,3.6,79107,47492,64.4,3.6,138681,17715,72.8,3.5,158286,7950,20.9,3.1,33145,8086,6.3,2.5,70846,30214,19669,677,88265,3845,46.1,2.7,(X),(X),32.4,2.4,(X),(X),13.7,1.5,(X),(X),53.9,2.7,(X),(X),34.6,2.5,(X),(X),19.3,2.0,(X),(X),24.9,(X),(X),(X),26.9,(X),(X),(X),23.6,(X),(X),(X)
8600000US20010,20010,ZCTA5 20010,12826,335,66404,3809,54.3,2.8,90831,5270,29.2,2.5,46852,8573,0.2,0.3,-,**,3.5,1.0,94647,41461,0.0,0.3,-,**,9.7,2.4,40451,10982,3.2,1.0,66250,9753,24.0,2.8,42384,6388,42.1,2.6,106364,7639,4.4,1.3,51795,10308,57.4,2.9,81201,4705,25.3,2.5,60327,8429,12.9,1.4,35302,10152,5462,341,64793,6888,43.7,4.6,51591,15603,56.3,4.6,73636,26609,54.9,5.8,117902,22008,25.4,4.1,42500,10850,19.6,4.9,39027,5901,7364,354,65210,4694,48.9,4.2,61591,6005,34.8,4.0,49129,9280,14.2,1.8,108656,9413,51.1,4.2,70266,9787,34.9,4.5,52346,13314,16.2,2.9,114469,36303,35.8,(X),(X),(X),43.0,(X),(X),(X),27.6,(X),(X),(X)
8600000US20011,20011,ZCTA5 20011,24371,468,62281,2612,17.9,1.4,124464,14408,67.1,1.8,55081,3940,0.7,0.4,41186,19488,2.0,0.6,93893,36155,0.0,0.1,-,**,10.2,1.1,50391,8392,2.1,0.5,62778,17102,16.6,1.2,52309,4585,13.8,1.2,147170,10209,1.8,0.6,28088,9391,37.0,1.5,74087,6512,37.6,1.6,67966,4927,23.6,1.2,46933,3196,13624,539,77367,6161,42.9,2.3,61593,5888,57.1,2.3,86917,3930,53.0,2.6,100964,6138,36.3,2.7,55692,8690,10.7,1.6,69241,15265,10747,508,42886,4077,55.3,3.0,41156,3505,46.1,2.8,35250,4709,9.2,1.6,93796,14770,44.7,3.0,47873,10175,34.0,3.4,34111,6140,10.7,1.9,116071,23346,42.7,(X),(X),(X),45.2,(X),(X),(X),37.7,(X),(X),(X)
8600000US20012,20012,ZCTA5 20012,5765,223,80991,5872,25.8,2.9,136136,21887,65.2,3.2,73307,7514,0.2,0.2,-,**,1.4,0.9,168750,65611,0.2,0.2,-,**,4.8,1.8,(X),(X),2.6,1.2,(X),(X),7.8,2.1,60690,41516,24.1,2.6,135568,23917,2.0,1.2,46089,13884,28.4,2.8,83676,14591,44.2,2.9,101364,15883,25.3,2.2,68878,6572,3400,238,99167,13541,38.1,3.7,105833,32322,61.9,3.7,95000,17897,67.2,4.7,132917,16062,24.1,4.1,66250,5608,8.7,2.9,62757,38188,2365,216,63466,7552,57.3,5.8,(X),(X),50.3,5.6,(X),(X),6.9,3.0,(X),(X),42.7,5.8,(X),(X),31.2,5.8,(X),(X),11.5,3.1,(X),(X),35.7,(X),(X),(X),38.9,(X),(X),(X),28.7,(X),(X),(X)
8600000US20015,20015,ZCTA5 20015,6445,226,161352,11821,81.3,3.1,171524,12559,10.7,2.2,65875,50960,0.3,0.5,-,**,4.7,1.6,(X),(X),0.0,0.5,-,**,1.2,0.9,95284,90286,1.8,1.1,205959,101707,5.3,2.0,161944,75097,77.2,3.6,172165,15543,2.8,1.4,(X),(X),26.8,2.7,(X),(X),40.9,3.0,(X),(X),29.5,2.7,(X),(X),4027,215,223606,21362,49.7,4.7,230732,22645,50.3,4.7,210592,48160,89.8,3.1,(X),(X),8.3,2.9,(X),(X),1.9,1.3,(X),(X),2418,236,65078,11766,63.5,6.1,60655,7652,54.8,6.2,59242,8920,8.6,3.4,80875,60876,36.5,6.1,79698,27072,30.8,5.9,76923,39166,5.7,2.8,110208,39851,26.5,(X),(X),(X),25.3,(X),(X),(X),25.2,(X),(X),(X)
8600000US20016,20016,ZCTA5 20016,14011,426,124080,10050,84.7,2.2,144597,12194,4.5,1.5,60558,43253,0.1,0.2,-,**,6.3,1.4,84728,35220,0.0,0.2,-,**,1.6,1.1,(X),(X),2.8,0.9,81941,57203,7.9,1.6,114375,46277,79.3,2.2,144301,12362,5.7,1.3,7924,4225,30.2,2.3,116927,16710,38.6,2.5,164260,26173,25.5,2.0,104989,11301,7276,382,203800,12667,49.0,3.5,227799,21979,51.0,3.5,185862,13475,86.4,2.6,224031,10658,10.1,2.2,108594,11662,3.4,1.3,136607,81908,6735,453,64531,8538,67.4,4.3,(X),(X),57.8,4.7,(X),(X),9.6,2.5,(X),(X),32.6,4.3,(X),(X),23.2,4.1,(X),(X),9.4,2.3,(X),(X),24.4,(X),(X),(X),23.1,(X),(X),(X),24.6,(X),(X),(X)
8600000US20017,20017,ZCTA5 20017,7518,249,63022,5645,20.1,2.3,111316,13557,70.0,2.7,55184,3248,0.7,0.8,80667,44240,2.2,0.9,(X),(X),0.0,0.4,-,**,4.1,1.3,45188,25293,2.9,1.1,63378,7524,6.7,1.4,46188,35353,19.4,2.3,112607,12351,3.2,1.1,(X),(X),36.7,2.9,(X),(X),31.6,2.5,(X),(X),28.5,2.6,(X),(X),3893,312,74608,7655,40.5,4.1,72656,20955,59.5,4.1,75331,7642,50.0,4.8,109850,10063,39.3,4.5,45833,9815,10.7,3.7,50898,7488,3625,277,54505,3499,61.9,4.5,48558,8981,51.9,4.3,42559,13421,10.0,2.6,100833,25611,38.1,4.5,61453,8046,27.7,4.4,53286,3177,10.4,2.6,110893,37932,40.3,(X),(X),(X),46.6,(X),(X),(X),30.0,(X),(X),(X)
8600000US20018,20018,ZCTA5 20018,7666,251,58821,6453,13.4,1.7,131016,14305,82.9,1.9,51096,5232,0.0,0.4,-,**,0.7,0.4,43906,37102,0.0,0.4,-,**,1.5,0.6,64231,28066,1.4,0.7,85781,47696,4.8,1.4,95375,62576,10.8,2.0,123944,14668,1.4,1.0,(X),(X),31.0,2.8,(X),(X),36.5,3.2,(X),(X),31.1,2.1,(X),(X),3937,273,77810,6850,43.7,4.6,71713,5473,56.3,4.6,83205,11969,46.7,4.8,107764,10618,45.6,4.9,55109,10498,7.8,3.1,70469,31127,3729,287,30366,8083,57.8,5.5,(X),(X),51.9,5.8,(X),(X),6.0,2.5,(X),(X),42.2,5.5,(X),(X),33.1,4.8,(X),(X),9.0,3.5,(X),(X),43.1,(X),(X),(X),48.0,(X),(X),(X),35.6,(X),(X),(X)
8600000US20019,20019,ZCTA5 20019,22620,434,34739,2599,1.2,0.4,67784,24939,96.1,0.9,34066,2842,0.3,0.3,80565,29479,0.1,0.1,(X),(X),0.0,0.1,-,**,1.2,0.6,36216,3343,1.1,0.4,35000,19884,2.2,0.7,39600,13941,0.6,0.2,79792,59600,2.5,0.7,22091,4157,34.3,1.9,35257,4972,41.1,1.8,39020,3837,22.2,1.3,28150,4542,12346,607,39036,3167,46.3,3.7,29081,3938,53.7,3.7,51412,4332,24.5,2.2,(X),(X),65.3,2.7,(X),(X),10.2,1.7,(X),(X),10274,517,26743,2574,61.1,2.8,24509,2079,55.6,2.9,23199,2120,5.4,1.7,47118,23534,38.9,2.8,34935,4257,34.4,2.6,31676,5427,4.6,1.2,66250,19795,43.9,(X),(X),(X),46.3,(X),(X),(X),39.8,(X),(X),(X)
8600000US20020,20020,ZCTA5 20020,21084,492,34797,2431,2.4,0.6,89779,37860,94.9,1.0,33726,2504,0.4,0.3,35729,20957,0.6,0.4,58304,40713,0.1,0.2,-,**,0.7,0.7,"2,500-",***,0.8,0.4,78036,42652,2.1,1.0,(X),(X),2.1,0.6,95764,30862,3.7,0.9,15534,2396,38.1,1.8,34640,5291,40.4,1.7,36595,2783,17.9,1.2,32885,8077,12074,499,36875,3832,48.3,2.5,24537,3411,51.7,2.5,49639,5425,24.4,2.6,70928,7692,63.7,3.1,25974,2618,11.8,2.2,35637,7685,9010,466,29038,4488,54.9,3.5,26969,4862,50.6,3.4,26014,2780,4.3,1.4,52857,21048,45.1,3.5,30978,6876,40.4,3.6,27526,4258,4.6,1.5,70929,13910,28.4,(X),(X),(X),31.3,(X),(X),(X),23.6,(X),(X),(X)
8600000US20024,20024,ZCTA5 20024,7043,246,72389,7177,49.6,3.5,93487,16188,42.4,3.2,46311,5040,0.3,0.4,-,**,3.8,1.9,123173,95496,0.3,0.5,-,**,1.0,0.9,(X),(X),2.5,1.0,66316,31797,6.2,2.0,77054,51744,46.4,3.4,91324,17160,4.2,1.8,45455,16605,41.7,3.8,82079,13743,31.8,3.4,72039,15298,22.3,3.1,51903,14150,2153,279,91607,26716,23.5,6.6,(X),(X),76.5,6.6,(X),(X),61.2,6.6,(X),(X),35.4,6.5,(X),(X),3.4,2.3,(X),(X),4890,317,66694,9635,54.2,4.8,(X),(X),49.6,5.0,(X),(X),4.7,1.7,(X),(X),45.8,4.8,(X),(X),35.4,4.4,(X),(X),10.4,3.4,(X),(X),24.4,(X),(X),(X),27.9,(X),(X),(X),22.9,(X),(X),(X)
8600000US20032,20032,ZCTA5 20032,14235,332,33408,2267,6.9,0.9,69583,15650,91.2,0.9,31548,1803,0.1,0.1,(X),(X),0.2,0.2,(X),(X),0.0,0.2,-,**,0.7,0.4,(X),(X),0.9,0.5,38403,15666,1.8,0.6,35139,10047,6.2,0.8,79896,15379,6.2,1.2,18500,5702,41.0,2.1,37878,3209,37.6,2.2,36433,2748,15.2,1.2,25465,3557,8527,402,36770,3700,55.5,3.0,29831,3626,44.5,3.0,49773,7428,28.7,2.8,73390,5854,61.4,2.8,22612,4104,9.8,2.3,40841,11045,5708,411,27443,3172,53.2,4.6,(X),(X),48.7,4.4,(X),(X),4.5,1.6,(X),(X),46.8,4.6,(X),(X),41.8,4.6,(X),(X),5.0,2.0,(X),(X),32.3,(X),(X),(X),34.7,(X),(X),(X),26.4,(X),(X),(X)
8600000US20036,20036,ZCTA5 20036,3828,285,82829,9311,77.1,4.4,96387,19693,3.9,1.7,75328,68942,1.9,1.5,(X),(X),12.1,3.8,60852,32529,0.0,0.8,-,**,1.6,1.5,(X),(X),3.4,2.2,54701,51871,5.3,2.3,78150,46586,74.2,4.5,96914,17772,6.4,2.1,(X),(X),66.6,5.4,(X),(X),20.6,5.0,(X),(X),6.4,2.1,(X),(X),698,156,157606,34213,22.5,6.5,230321,110914,77.5,6.5,137208,46115,90.7,8.4,(X),(X),6.4,5.8,(X),(X),2.9,5.4,(X),(X),3130,250,74603,8951,54.5,6.3,(X),(X),49.0,6.0,(X),(X),5.5,2.2,(X),(X),45.5,6.3,(X),(X),35.4,5.6,(X),(X),10.1,3.6,(X),(X),17.7,(X),(X),(X),18.8,(X),(X),(X),16.6,(X),(X),(X)
8600000US20037,20037,ZCTA5 20037,7088,418,78176,10150,77.6,4.2,91627,21845,5.5,2.4,(X),(X),0.5,0.7,-,**,10.9,2.5,44107,29686,0.0,0.5,-,**,1.8,1.3,(X),(X),3.8,2.1,82958,39306,13.2,3.5,72261,34424,67.0,4.5,96111,23610,15.3,2.9,14139,11702,43.2,4.0,84265,13688,21.2,3.9,195049,48195,20.3,2.8,67945,27253,1640,313,207380,62404,19.1,10.7,(X),(X),80.9,10.7,(X),(X),82.0,10.9,(X),(X),7.3,8.1,(X),(X),10.7,8.5,(X),(X),5448,415,62768,11426,51.5,5.0,49960,6121,42.6,4.6,52552,6443,8.8,2.6,38667,24303,48.5,5.0,76962,13952,36.1,5.0,72802,12229,12.4,4.0,148920,93988,27.0,(X),(X),(X),25.5,(X),(X),(X),27.1,(X),(X),(X)
8600000US20045,20045,ZCTA5 20045,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20052,20052,ZCTA5 20052,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20053,20053,ZCTA5 20053,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20057,20057,ZCTA5 20057,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20064,20064,ZCTA5 20064,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20202,20202,ZCTA5 20202,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20204,20204,ZCTA5 20204,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20228,20228,ZCTA5 20228,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20230,20230,ZCTA5 20230,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20240,20240,ZCTA5 20240,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20245,20245,ZCTA5 20245,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20260,20260,ZCTA5 20260,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20307,20307,ZCTA5 20307,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20317,20317,ZCTA5 20317,322,91,23125,15291,75.8,16.3,(X),(X),24.2,16.3,30268,10897,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,75.8,16.3,(X),(X),0.0,9.6,-,**,0.0,9.6,-,**,13.4,10.9,-,**,86.6,10.9,21875,14666,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,322,91,23125,15291,19.9,16.9,(X),(X),19.9,16.9,(X),(X),0.0,9.6,(X),(X),80.1,16.9,(X),(X),80.1,16.9,(X),(X),0.0,9.6,(X),(X),84.5,(X),(X),(X),-,(X),(X),(X),84.5,(X),(X),(X)
8600000US20319,20319,ZCTA5 20319,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20373,20373,ZCTA5 20373,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20390,20390,ZCTA5 20390,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20405,20405,ZCTA5 20405,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20418,20418,ZCTA5 20418,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20427,20427,ZCTA5 20427,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20506,20506,ZCTA5 20506,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20510,20510,ZCTA5 20510,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20520,20520,ZCTA5 20520,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US20535,20535,ZCTA5 20535,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
